machine_id,cycle,timestamp,spindle_speed_rpm,torque_nm,motor_current_a,vibration_x,vibration_y,vibration_z,temperature_c,cutting_force_n,acoustic_emission,tool_wear_percent,tool_age_hours,rul_hours,anomaly_score,failure_probability,health_score,failure,status
CNC-001,28,2025-01-02 06:42:04.222197645,3599.178,68.949,24.201,1.0368,1.0967,0.9681,59.148,687.286,34.966,1.949,30.701,1065.769,0.27975,0.40937,69.667,0,AT_RISK
CNC-001,29,2025-01-02 07:47:51.515847561,3634.969,71.554,21.547,1.1138,1.1001,0.9758,59.583,717.724,33.999,0.0,31.798,1064.673,0.2575,0.36632,72.155,0,HEALTHY
CNC-001,30,2025-01-02 08:53:38.809497477,3709.611,77.489,25.593,1.1876,0.9136,0.9084,58.376,777.876,28.215,0.993,32.894,1063.576,0.28068,0.41824,68.851,0,AT_RISK
CNC-001,31,2025-01-02 09:59:26.103147393,3590.503,74.561,22.972,1.0511,1.5304,0.6782,59.232,742.371,34.02,0.033,33.991,1062.48,0.28155,0.3705,71.996,0,HEALTHY
CNC-001,32,2025-01-02 11:05:13.396797309,3753.336,71.619,25.672,0.7319,0.8813,1.0829,59.597,721.427,41.66,1.772,35.087,1061.383,0.3023,0.43629,67.983,0,AT_RISK
CNC-001,33,2025-01-02 12:11:00.690447224,3659.823,74.275,23.654,0.9705,1.1383,1.2288,57.05,746.105,35.882,0.624,36.184,1060.287,0.31938,0.39977,69.842,0,AT_RISK
CNC-001,34,2025-01-02 13:16:47.984097140,3794.63,71.429,21.774,1.2137,0.8793,0.6993,59.446,712.548,38.389,0.231,37.28,1059.19,0.27914,0.3573,72.839,0,HEALTHY
CNC-001,35,2025-01-02 14:22:35.277747056,3643.735,73.672,23.98,1.143,0.8826,0.9501,60.061,747.214,39.279,0.69,38.376,1058.094,0.28831,0.40304,69.897,0,AT_RISK
CNC-001,36,2025-01-02 15:28:22.571396972,3736.056,70.518,22.785,1.3026,1.0975,0.9476,60.35,715.5,34.815,0.034,39.473,1056.998,0.26737,0.38465,71.217,0,HEALTHY
CNC-001,37,2025-01-02 16:34:09.865046888,3777.372,75.076,25.046,1.217,0.7296,1.0758,58.348,746.657,36.803,0.0,40.569,1055.901,0.31751,0.41379,69.363,0,AT_RISK
CNC-001,38,2025-01-02 17:39:57.158696804,3549.285,73.354,25.863,1.0042,1.0307,1.3794,60.153,735.276,37.982,0.0,41.666,1054.805,0.32751,0.44695,67.478,0,AT_RISK
CNC-001,39,2025-01-02 18:45:44.452346720,3620.225,77.131,24.31,1.064,1.0049,1.1825,62.347,775.498,34.655,0.0,42.762,1053.708,0.30014,0.4243,68.577,0,AT_RISK
CNC-001,40,2025-01-02 19:51:31.745996636,3675.439,75.335,22.307,1.0603,1.1795,1.3382,58.811,742.892,36.552,2.082,43.859,1052.612,0.26988,0.40012,69.471,0,AT_RISK
CNC-001,41,2025-01-02 20:57:19.039646552,3717.876,70.269,24.115,1.0431,1.2272,0.6804,58.459,707.318,33.651,0.662,44.955,1051.515,0.26559,0.38594,71.263,0,HEALTHY
CNC-001,42,2025-01-02 22:03:06.333296468,3731.524,71.752,23.775,0.9408,1.1577,1.0355,59.793,738.749,33.232,0.887,46.052,1050.419,0.32442,0.40415,69.782,0,AT_RISK
CNC-001,43,2025-01-02 23:08:53.626946383,3577.06,70.341,22.474,1.1025,1.068,0.9884,59.401,707.634,38.686,0.0,47.148,1049.322,0.2439,0.37859,71.555,0,HEALTHY
CNC-001,44,2025-01-03 00:14:40.920596299,3719.773,74.28,23.283,1.067,1.0313,0.9152,58.866,744.001,35.897,0.543,48.245,1048.226,0.2906,0.3866,70.833,0,HEALTHY
CNC-001,45,2025-01-03 01:20:28.214246215,3702.191,72.612,24.317,0.9059,1.0551,1.0963,61.43,718.061,34.344,0.0,49.341,1047.129,0.27399,0.41668,69.41,0,AT_RISK
CNC-001,46,2025-01-03 02:26:15.507896131,3852.357,70.407,22.771,1.3165,0.6957,1.2003,58.072,714.048,29.931,0.0,50.438,1046.033,0.24518,0.38738,70.868,0,HEALTHY
CNC-001,47,2025-01-03 03:32:02.801546047,3798.942,73.195,23.505,1.337,1.4073,1.1981,59.018,728.946,32.733,0.46,51.534,1044.936,0.29799,0.40311,69.855,0,AT_RISK
CNC-001,48,2025-01-03 04:37:50.095195963,3771.627,77.596,24.788,1.0039,1.1027,1.3795,61.456,767.934,38.186,0.0,52.631,1043.84,0.31237,0.43698,67.799,0,AT_RISK
CNC-001,49,2025-01-03 05:43:37.388845879,3761.926,68.472,23.139,1.1813,0.7967,1.232,58.133,679.961,41.263,2.174,53.727,1042.743,0.27436,0.40435,69.715,0,AT_RISK
CNC-001,50,2025-01-03 06:49:24.682495795,3614.395,78.235,24.225,1.1608,1.0797,1.2339,58.247,783.768,35.184,1.941,54.824,1041.647,0.26092,0.41882,68.327,0,AT_RISK
CNC-001,51,2025-01-03 07:55:11.976145711,3714.56,74.332,24.235,1.1015,1.4142,1.1214,58.217,741.98,38.714,2.484,55.92,1040.55,0.31098,0.41605,68.719,0,AT_RISK
CNC-001,52,2025-01-03 09:00:59.269795627,3806.336,69.405,24.232,0.8678,0.9606,1.2818,59.852,700.616,38.408,0.04,57.016,1039.454,0.33738,0.41839,69.264,0,AT_RISK
CNC-001,53,2025-01-03 10:06:46.563445543,3711.566,75.276,22.991,1.1638,1.2066,1.1691,60.472,753.059,40.723,2.667,58.113,1038.358,0.29391,0.41074,68.872,0,AT_RISK
CNC-001,54,2025-01-03 11:12:33.857095458,3807.433,70.422,23.91,0.9445,1.2453,1.0439,59.973,708.183,30.772,0.88,59.209,1037.261,0.27499,0.40707,69.824,0,AT_RISK
CNC-001,55,2025-01-03 12:18:21.150745374,3808.163,74.567,23.062,1.2885,1.1853,1.1599,61.356,742.26,35.82,2.738,60.306,1036.165,0.23504,0.41506,68.716,0,AT_RISK
CNC-001,56,2025-01-03 13:24:08.444395290,3771.426,70.245,22.249,1.0266,1.1951,1.0904,59.098,696.377,34.078,2.636,61.402,1035.068,0.23659,0.3914,70.316,0,HEALTHY
CNC-001,57,2025-01-03 14:29:55.738045206,3676.544,74.918,23.8,0.9759,1.4084,0.9534,61.156,762.246,31.48,0.13,62.499,1033.972,0.28781,0.4023,69.963,0,AT_RISK
CNC-001,58,2025-01-03 15:35:43.031695122,3711.581,74.853,23.51,1.0589,0.9791,1.0367,58.669,755.65,39.741,1.005,63.595,1032.875,0.29535,0.39678,70.025,0,HEALTHY
CNC-001,59,2025-01-03 16:41:30.325345038,3706.155,72.153,25.618,1.3251,0.8607,1.1529,59.56,727.118,38.441,1.221,64.692,1031.779,0.3351,0.43609,68.016,0,AT_RISK
CNC-001,60,2025-01-03 17:47:17.618994954,3764.857,69.762,22.413,1.3056,0.8268,0.9411,59.904,703.702,33.192,0.699,65.788,1030.682,0.18874,0.38072,71.364,0,HEALTHY
CNC-001,61,2025-01-03 18:53:04.912644870,3843.918,74.391,24.99,0.9459,0.7009,1.2053,60.246,746.898,39.498,0.723,66.885,1029.586,0.31776,0.43011,68.27,0,AT_RISK
CNC-001,62,2025-01-03 19:58:52.206294786,3811.564,75.111,24.846,1.3732,1.3057,1.0285,60.643,749.874,34.539,2.301,67.981,1028.489,0.28205,0.42874,68.136,0,AT_RISK
CNC-001,63,2025-01-03 21:04:39.499944702,3792.772,74.943,23.975,1.1987,1.1784,0.8677,60.17,751.991,39.161,2.455,69.078,1027.393,0.25063,0.40785,69.31,0,AT_RISK
CNC-001,64,2025-01-03 22:10:26.793594618,3780.421,74.945,23.953,1.3316,1.069,1.4474,58.668,753.633,39.258,3.703,70.174,1026.296,0.31202,0.43539,67.122,0,AT_RISK
CNC-001,65,2025-01-03 23:16:14.087244533,3742.022,74.274,22.541,1.3506,0.9162,1.1692,60.506,739.636,36.525,1.47,71.271,1025.2,0.24048,0.39901,69.827,0,AT_RISK
CNC-001,66,2025-01-04 00:22:01.380894449,3844.988,70.48,23.38,0.9944,1.002,1.316,61.258,715.938,41.519,2.882,72.367,1024.103,0.30245,0.42728,68.092,0,AT_RISK
CNC-001,67,2025-01-04 01:27:48.674544365,3763.305,75.152,23.028,1.46,1.1411,1.0868,59.315,746.673,36.763,0.674,73.464,1023.007,0.28122,0.39348,70.294,0,HEALTHY
CNC-001,68,2025-01-04 02:33:35.968194281,3749.252,75.457,24.264,1.2774,0.9962,1.3438,61.082,760.679,39.568,3.238,74.56,1021.91,0.29178,0.44205,66.93,0,AT_RISK
CNC-001,69,2025-01-04 03:39:23.261844197,3862.627,75.293,23.377,1.2021,1.0846,1.0326,58.77,752.3,34.903,2.532,75.656,1020.814,0.28777,0.40236,69.438,0,AT_RISK
CNC-001,70,2025-01-04 04:45:10.555494113,3816.625,72.343,24.46,1.1065,0.9581,1.0915,59.335,743.416,34.921,0.282,76.753,1019.718,0.32119,0.41161,69.437,0,AT_RISK
CNC-001,71,2025-01-04 05:50:57.849144029,3805.047,74.956,23.993,1.0699,0.9264,1.0645,62.81,750.074,38.176,0.926,77.849,1018.621,0.34141,0.42047,68.848,0,AT_RISK
CNC-001,72,2025-01-04 06:56:45.142793945,3783.525,73.4,23.801,1.1489,0.8461,1.1948,59.036,742.835,38.736,1.234,78.946,1017.525,0.28598,0.41077,69.202,0,AT_RISK
CNC-001,73,2025-01-04 08:02:32.436443861,3802.054,72.381,25.261,1.2605,1.0587,1.3098,59.61,733.874,37.545,1.799,80.042,1016.428,0.3393,0.44166,67.437,0,AT_RISK
CNC-001,74,2025-01-04 09:08:19.730093777,3876.846,75.118,25.891,1.1391,1.0299,0.9793,59.735,757.74,40.313,2.142,81.139,1015.332,0.3757,0.43669,67.732,0,AT_RISK
CNC-001,75,2025-01-04 10:14:07.023743692,3721.167,75.952,23.351,1.3122,0.9037,1.2351,61.548,760.363,40.09,2.311,82.235,1014.235,0.32464,0.42139,68.297,0,AT_RISK
CNC-001,76,2025-01-04 11:19:54.317393608,3725.224,70.424,25.049,1.1408,1.2645,0.8133,59.54,710.817,36.597,0.237,83.332,1013.139,0.29717,0.40712,70.116,0,HEALTHY
CNC-001,77,2025-01-04 12:25:41.611043524,3886.544,75.762,24.43,1.055,1.0161,1.1038,58.488,757.979,36.21,1.016,84.428,1012.042,0.32262,0.41198,69.152,0,AT_RISK
CNC-001,78,2025-01-04 13:31:28.904693440,3808.45,71.308,23.778,1.222,0.9171,1.3002,58.83,721.944,34.436,0.0,85.525,1010.946,0.26307,0.40879,69.615,0,AT_RISK
CNC-001,79,2025-01-04 14:37:16.198343356,3647.131,74.934,23.931,1.4325,1.0979,0.923,59.489,755.224,39.45,2.288,86.621,1009.849,0.31661,0.40643,69.348,0,AT_RISK
CNC-001,80,2025-01-04 15:43:03.491993272,3789.319,75.597,25.425,1.2066,1.0932,1.1933,59.953,759.448,35.811,4.119,87.718,1008.753,0.31069,0.45094,66.397,0,AT_RISK
CNC-001,81,2025-01-04 16:48:50.785643188,3784.065,75.223,23.622,1.1904,0.9804,1.2736,60.241,762.021,30.739,1.466,88.814,1007.656,0.37706,0.41784,68.607,0,AT_RISK
CNC-001,82,2025-01-04 17:54:38.079293104,3827.368,72.247,24.304,1.244,0.8406,1.4065,60.208,728.13,34.534,1.709,89.911,1006.56,0.31491,0.4348,67.782,0,AT_RISK
CNC-001,83,2025-01-04 19:00:25.372943020,3868.29,75.779,24.15,1.3044,1.0808,1.3905,59.503,767.038,35.221,5.205,91.007,1005.463,0.35888,0.44598,66.22,0,AT_RISK
CNC-001,84,2025-01-04 20:06:12.666592936,3823.384,76.612,24.087,1.2594,1.2144,1.3148,60.873,754.082,34.449,1.921,92.104,1004.367,0.33656,0.43097,67.848,0,AT_RISK
CNC-001,85,2025-01-04 21:11:59.960242852,3854.846,76.184,25.431,1.1948,1.0157,1.0467,59.208,751.371,34.853,3.577,93.2,1003.27,0.34274,0.43832,67.33,0,AT_RISK
CNC-001,86,2025-01-04 22:17:47.253892767,3784.805,71.412,23.156,1.2052,0.8039,1.401,62.081,696.931,35.009,1.076,94.296,1002.174,0.31128,0.42279,68.768,0,AT_RISK
CNC-001,87,2025-01-04 23:23:34.547542683,3775.95,74.951,23.41,0.9855,1.2678,0.9154,63.23,758.563,39.656,4.337,95.393,1001.078,0.30492,0.42319,68.059,0,AT_RISK
CNC-001,88,2025-01-05 00:29:21.841192599,3836.872,74.246,24.547,1.2082,0.7911,1.0587,59.499,752.274,35.373,2.728,96.489,999.981,0.2504,0.42358,68.267,0,AT_RISK
CNC-001,89,2025-01-05 01:35:09.134842515,3917.106,76.565,23.956,0.9499,0.9556,1.2276,59.613,772.72,43.257,3.554,97.586,998.885,0.31095,0.42784,67.607,0,AT_RISK
CNC-001,90,2025-01-05 02:40:56.428492431,3747.132,77.906,24.503,1.1228,0.9816,1.3484,60.842,791.2,38.93,3.316,98.682,997.788,0.30983,0.44508,66.551,0,AT_RISK
CNC-001,91,2025-01-05 03:46:43.722142347,3849.345,72.074,24.873,1.1803,0.9259,1.4162,61.482,717.872,40.386,3.65,99.779,996.692,0.31042,0.45779,66.246,0,AT_RISK
CNC-001,92,2025-01-05 04:52:31.015792263,3758.013,75.858,23.91,1.6849,0.7973,1.4292,60.036,759.793,39.965,5.398,100.875,995.595,0.35041,0.44753,66.121,0,AT_RISK
CNC-001,93,2025-01-05 05:58:18.309442179,3710.0,75.898,25.69,0.9732,1.0677,1.3191,61.298,756.712,34.099,5.207,101.972,994.499,0.27833,0.47152,65.027,0,AT_RISK
CNC-001,94,2025-01-05 07:04:05.603092095,3896.454,75.835,24.018,0.9598,1.0885,1.077,60.029,757.011,37.266,4.476,103.068,993.402,0.28029,0.42755,67.654,0,AT_RISK
CNC-001,95,2025-01-05 08:09:52.896742011,3777.21,76.493,25.24,1.2374,1.0378,1.6882,59.472,757.603,40.297,3.39,104.165,992.306,0.38756,0.46697,65.33,0,AT_RISK
CNC-001,96,2025-01-05 09:15:40.190391927,3943.166,75.114,23.689,1.0283,1.0564,1.0739,60.825,766.122,36.447,3.082,105.261,991.209,0.32888,0.41925,68.331,0,AT_RISK
CNC-001,97,2025-01-05 10:21:27.484041843,3786.447,71.584,23.8,1.3148,0.926,1.4721,59.816,719.132,35.878,1.982,106.358,990.113,0.32513,0.43066,67.945,0,AT_RISK
CNC-001,98,2025-01-05 11:27:14.777691758,3866.105,72.808,23.364,1.1027,0.9193,1.3083,61.585,724.361,33.198,4.088,107.454,989.016,0.36362,0.43378,67.453,0,AT_RISK
CNC-001,99,2025-01-05 12:33:02.071341674,3885.378,74.83,24.317,1.1729,0.8405,1.3276,60.235,759.257,39.058,2.17,108.551,987.92,0.32705,0.43351,67.613,0,AT_RISK
CNC-001,100,2025-01-05 13:38:49.364991590,3811.771,72.342,23.636,1.0047,1.1621,1.2693,60.944,723.84,38.153,2.964,109.647,986.823,0.36829,0.42777,68.031,0,AT_RISK
CNC-001,101,2025-01-05 14:44:36.658641506,3784.25,76.204,22.35,1.2075,0.8627,1.0708,61.39,764.918,32.017,3.256,110.744,985.727,0.27235,0.4036,69.134,0,AT_RISK
CNC-001,102,2025-01-05 15:50:23.952291422,3851.752,75.008,23.314,1.2119,0.6235,0.9931,61.083,744.718,36.072,0.195,111.84,984.63,0.27107,0.39753,70.283,0,HEALTHY
CNC-001,103,2025-01-05 16:56:11.245941338,3806.944,73.513,24.312,1.0746,0.924,1.1246,59.15,744.837,38.972,3.211,112.936,983.534,0.3579,0.42441,68.116,0,AT_RISK
CNC-001,104,2025-01-05 18:01:58.539591254,3819.431,74.647,24.918,1.0731,0.6888,1.492,60.462,755.368,39.95,2.495,114.033,982.438,0.32511,0.45243,66.454,0,AT_RISK
CNC-001,105,2025-01-05 19:07:45.833241170,3808.037,75.154,24.977,1.0471,0.9431,1.0602,59.814,753.981,31.645,3.582,115.129,981.341,0.35419,0.43501,67.481,0,AT_RISK
CNC-001,106,2025-01-05 20:13:33.126891086,3834.011,77.517,23.744,0.7395,0.81,1.075,58.369,779.253,37.752,2.403,116.226,980.245,0.32062,0.40725,68.995,0,AT_RISK
CNC-001,107,2025-01-05 21:19:20.420541002,3726.229,74.1,24.0,1.3192,1.1435,1.4976,61.151,749.293,35.762,2.533,117.322,979.148,0.32563,0.44264,66.999,0,AT_RISK
CNC-001,108,2025-01-05 22:25:07.714190917,3843.888,75.199,25.565,1.1068,0.9012,1.3019,60.373,747.439,41.331,2.491,118.419,978.052,0.29455,0.45195,66.68,0,AT_RISK
CNC-001,109,2025-01-05 23:30:55.007840833,3888.431,77.543,24.072,1.062,0.9292,1.1104,60.046,784.246,38.983,2.37,119.515,976.955,0.33112,0.41987,68.294,0,AT_RISK
CNC-001,110,2025-01-06 00:36:42.301490749,3806.933,75.662,23.499,1.2551,1.0984,1.1399,60.947,770.145,42.642,2.503,120.612,975.859,0.3165,0.41746,68.469,0,AT_RISK
CNC-001,111,2025-01-06 01:42:29.595140665,3783.617,76.349,24.975,1.1615,0.8265,1.0707,59.177,751.476,39.689,4.76,121.708,974.762,0.30785,0.43867,67.045,0,AT_RISK
CNC-001,112,2025-01-06 02:48:16.888790581,3821.429,75.765,24.215,0.9167,1.0605,1.3489,61.293,766.981,35.406,3.509,122.805,973.666,0.34641,0.44376,66.74,0,AT_RISK
CNC-001,113,2025-01-06 03:54:04.182440497,3908.066,77.036,23.698,1.2568,0.9633,1.309,60.956,772.642,40.396,3.964,123.901,972.569,0.32526,0.43543,67.073,0,AT_RISK
CNC-001,114,2025-01-06 04:59:51.476090413,3742.641,76.58,25.081,1.5827,1.1012,0.9315,61.171,783.447,39.462,4.21,124.998,971.473,0.3071,0.43867,67.081,0,AT_RISK
CNC-001,115,2025-01-06 06:05:38.769740329,3804.702,76.8,24.429,1.1931,1.0834,1.1622,62.585,768.593,39.03,5.295,126.094,970.376,0.27633,0.45154,66.11,0,AT_RISK
CNC-001,116,2025-01-06 07:11:26.063390245,3950.695,74.596,23.483,1.2362,1.1876,1.0523,59.94,746.163,35.594,5.12,127.191,969.28,0.27494,0.42162,67.92,0,AT_RISK
CNC-001,117,2025-01-06 08:17:13.357040161,3891.824,75.757,22.822,1.3491,1.1381,1.0909,62.226,754.322,37.477,1.784,128.287,968.183,0.27064,0.40732,69.306,0,AT_RISK
CNC-001,118,2025-01-06 09:23:00.650690076,3830.998,76.454,24.203,1.5717,1.3142,1.7352,62.373,764.784,42.014,6.995,129.384,967.087,0.34424,0.48379,63.645,0,AT_RISK
CNC-001,119,2025-01-06 10:28:47.944339992,3930.941,74.535,25.202,1.3196,0.44,1.5323,60.773,742.729,36.393,5.954,130.48,965.99,0.33212,0.47656,64.527,0,AT_RISK
CNC-001,120,2025-01-06 11:34:35.237989908,3758.333,76.188,24.995,1.4963,0.7141,1.2699,61.498,774.802,37.36,4.995,131.576,964.894,0.34897,0.45901,65.647,0,AT_RISK
CNC-001,121,2025-01-06 12:40:22.531639824,3767.246,75.925,23.105,0.863,0.7346,1.4066,58.948,762.21,40.534,2.135,132.673,963.798,0.30224,0.41515,68.49,0,AT_RISK
CNC-001,122,2025-01-06 13:46:09.825289740,3884.148,75.175,25.446,0.9219,0.8657,1.3511,60.746,731.821,37.559,4.057,133.769,962.701,0.34646,0.46178,65.907,0,AT_RISK
CNC-001,123,2025-01-06 14:51:57.118939656,3881.881,73.511,24.601,1.0562,0.9747,1.381,60.181,732.07,39.638,5.473,134.866,961.605,0.31618,0.45591,65.887,0,AT_RISK
CNC-001,124,2025-01-06 15:57:44.412589572,3793.449,74.855,25.507,1.002,0.8526,1.3156,59.908,737.13,34.748,3.57,135.962,960.508,0.32664,0.4552,66.337,0,AT_RISK
CNC-001,125,2025-01-06 17:03:31.706239488,3908.194,76.007,24.401,1.016,1.042,1.148,60.034,768.147,34.031,4.723,137.059,959.412,0.3664,0.43754,66.951,0,AT_RISK
CNC-001,126,2025-01-06 18:09:18.999889404,3884.335,74.038,24.022,1.0431,0.7827,1.4595,60.75,752.089,46.405,4.753,138.155,958.315,0.31482,0.4503,66.144,0,AT_RISK
CNC-001,127,2025-01-06 19:15:06.293539320,3887.479,79.846,24.859,0.9686,0.6524,1.3254,60.835,818.201,43.608,4.879,139.252,957.219,0.29434,0.45657,65.467,0,AT_RISK
CNC-001,128,2025-01-06 20:20:53.587189236,3866.99,78.731,24.754,0.9658,0.8391,1.1793,61.917,784.554,36.242,3.882,140.348,956.122,0.34035,0.44742,66.497,0,AT_RISK
CNC-001,129,2025-01-06 21:26:40.880839151,3761.486,75.876,24.103,1.1675,0.9026,1.2975,61.168,755.758,38.155,3.851,141.445,955.026,0.33484,0.44085,66.934,0,AT_RISK
CNC-001,130,2025-01-06 22:32:28.174489067,3863.204,77.921,25.001,1.2991,0.7344,0.9311,61.474,784.845,41.498,3.643,142.541,953.929,0.32762,0.43597,67.335,0,AT_RISK
CNC-001,131,2025-01-06 23:38:15.468138983,3918.002,75.637,23.545,1.1342,1.0614,1.4884,62.28,757.072,37.912,5.493,143.638,952.833,0.33613,0.45464,65.722,0,AT_RISK
CNC-001,132,2025-01-07 00:44:02.761788899,3829.145,76.453,25.099,1.0324,0.6364,1.1681,61.523,769.233,38.606,4.231,144.734,951.736,0.32585,0.45189,66.295,0,AT_RISK
CNC-001,133,2025-01-07 01:49:50.055438815,3884.596,75.868,25.412,1.3411,0.6479,1.2866,61.388,760.238,43.649,4.931,145.831,950.64,0.3279,0.46498,65.429,0,AT_RISK
CNC-001,134,2025-01-07 02:55:37.349088731,3908.568,76.372,24.703,1.3746,0.8961,1.2463,59.162,765.392,41.812,3.995,146.927,949.543,0.30889,0.43957,66.929,0,AT_RISK
CNC-001,135,2025-01-07 04:01:24.642738647,3832.683,77.604,24.871,0.8451,0.685,1.174,60.487,761.536,39.508,2.31,148.024,948.447,0.33886,0.43555,67.586,0,AT_RISK
CNC-001,136,2025-01-07 05:07:11.936388563,3955.365,75.407,25.259,1.0214,0.8305,1.3566,60.395,766.037,34.388,3.213,149.12,947.35,0.3113,0.45388,66.265,0,AT_RISK
